english,filipino,kept_english
"My vessel isn’t listed — enter it manually (operations will match it)","Wala sa listahan ang vessel ko — ilagay nang manual (ima-match ito ng operations)",false
"Name","Pangalan",false
"Name must be at least {n} characters.","Ang pangalan ay dapat hindi bababa sa {n} characters.",false
"Names containing “X-Ray”, “DEA”, or “OOG” join those serving-number queues; anything else queues under “Other”. Drag ⠿ to arrange the display order. Deactivate to retire a service (past orders keep their pricing); ✕ delete is only possible while no order has ever used it.","Ang mga pangalang may “X-Ray”, “DEA”, o “OOG” ay sumasali sa mga serving-number queue na iyon; ang iba ay napupunta sa “Other”. I-drag ang ⠿ para ayusin ang display order. I-deactivate para itigil ang isang service (panatilihin ng mga lumang order ang kanilang pricing); ang ✕ delete ay posible lang habang wala pang order na gumamit nito.",false
"Needs action","May kailangang gawin",false
"Needs updated info — ask to resubmit","Kailangan ng updated na info — pakiusap na i-resubmit",false
"never","hindi pa",false
"New customers who confirmed their email and need verifying. A ring/dot means work is waiting — tap to open Approvals, view their ID, and approve or reject.","Mga bagong customer na na-confirm ang email at kailangang i-verify. Ang ring/dot ay ibig sabihin may naghihintay na trabaho — i-tap para buksan ang Approvals, tingnan ang kanilang ID, at i-approve o i-reject.",false
"New email address","Bagong email address",false
"New JO","Bagong JO",false
"New Job Order","Bagong Job Order",false
"New lines not yet configured (set free-days in Settings): {lines}","May mga bagong line na hindi pa naka-configure (i-set ang free-days sa Settings): {lines}",false
"New password","Bagong password",false
"New service name (can't be renamed later)","Bagong service name (hindi na mapapalitan ang pangalan mamaya)",false
"New shipping line (e.g. SITC)","Bagong shipping line (hal. SITC)",false
"Next","Susunod",false
"Next ›","Susunod ›",false
"Next →","Susunod →",false
"no","hindi",false
"No","Hindi",false
"No account found for ""{target}"". Ask them to sign up first, then grant access here.","Walang account na nahanap para sa ""{target}"". Pasabihan silang mag-sign up muna, tapos bigyan ng access dito.",false
"No accounts pending. 🎉","Walang naghihintay na account. 🎉",false
"No active orders right now.","Walang active orders ngayon.",false
"No authenticator found on this account.","Walang authenticator na nakita sa account na ito.",false
"No calls. Add one above or import the template.","Walang call. Magdagdag sa itaas o i-import ang template.",false
"No client errors recorded. 🎉","Walang naitalang client error. 🎉",false
"No completed orders yet.","Wala pang tapos na orders.",false
"no consignee","walang consignee",false
"No consignee","Walang consignee",false
"No consignees yet.","Wala pang consignee.",false
"no contact number on file","walang contact number na naka-file",false
"No containers on this order.","Walang container sa order na ito.",false
"No current calls. Add one above or import the template.","Walang current na call. Magdagdag sa itaas o i-import ang template.",false
"No current vessel calls right now.","Walang kasalukuyang barko sa ngayon.",false
"No customer accounts yet.","Wala pang customer accounts.",false
"No email needed — hand them the username + password. They sign in at the login page with the username.","Hindi kailangan ng email — ibigay sa kanila ang username + password. Mag-si-sign in sila sa login page gamit ang username.",false
"no failures this week 🎉","walang failure ngayong linggo 🎉",false
"No job order found for “{query}”. No X-ray request on file.","Walang nahanap na Job Order para sa “{query}”. Walang X-ray request na naka-file.",false
"No job orders in this view.","Walang Job Order sa view na ito.",false
"No job orders yet.","Wala pang Job Orders.",false
"No lines yet — add your shipping lines below.","Wala pang lines — idagdag ang iyong shipping lines sa ibaba.",false
"No matches.","Walang tumugma.",false
"No move types configured.","Walang naka-configure na move types.",false
"No rejected or cancelled orders.","Walang tinanggihan o kanseladong orders.",false
"No results","Walang resulta",false
"No RPS","Walang RPS",false
"No RPS needed","Walang kailangang RPS",false
"no runs yet","wala pang run",false
"No security events. 🎉","Walang security event. 🎉",false
"No staff yet.","Wala pang staff.",false
"No valid rows found. Expected a name column (and optional code).","Walang valid na rows na nahanap. Kailangan ng name column (at optional na code).",false
"No valid rows to import.","Walang valid na rows na i-import.",false
"No vessel calls right now.","Walang barko sa ngayon.",false
"None recorded. 🎉","Wala pang naitala. 🎉",false
"NOT CLEARED · X-ray pending","HINDI PA CLEARED · X-ray pending",false
"Note to customer:","Note sa customer:",false
"Nothing here yet.","Wala pa dito.",false
"Nothing needs your action. 🎉","Walang kailangang gawin. 🎉",false
"Nothing to save — no changes.","Walang ise-save — walang binago.",false
"Nothing waiting for payment — every completed order has an invoice. 🎉","Walang naghihintay ng bayad — may invoice na lahat ng tapos nang order. 🎉",false
"now serving","now serving",true
"of #{last} this week","ng #{last} ngayong linggo",false
"Official Receipt No. {no} recorded at the KTC office.","Official Receipt No. {no} naitala sa KTC office.",false
"ON","ON",true
"On hold · info needed","Naka-hold · may kailangang info",false
"One container number per line (commas or spaces also work)\n\nABCD1234567\nEFGH7654321","Isang container number kada linya (pwede rin ang commas o spaces)\n\nABCD1234567\nEFGH7654321",false
"Only the owner can add or change staff access.","Ang owner lang ang puwedeng magdagdag o magbago ng staff access.",false
"Only the owner can change access.","Ang owner lang ang puwedeng magbago ng access.",false
"Open","Bukas",false
"Open job orders","Mga bukas na Job Order",false
"Opens your SMS app with the message pre-filled (mobile)","Binubuksan ang SMS app mo na nakalagay na ang message (mobile)",false
"operations","operations",true
"Operations","Operations",true
"Optional note to append (e.g. which field to fix)…","Optional na note na idaragdag (hal. aling field ang aayusin)…",false
"Or grant admin to an existing account","O magbigay ng admin sa isang existing na account",false
"Outgoing calls — {n} in 24h","Mga outgoing call — {n} sa 24h",false
"Overview of the KTC Online Portal.","Overview ng KTC Online Portal.",false
"Owner","Owner",true
"page.","page.",true
"Paid","Bayad na",false
"PAID","BAYAD NA",false
"Password","Password",true
"Password reset for ""{username}"" — hand them the new password.","Na-reset ang password para sa ""{username}"" — ibigay sa kanila ang bagong password.",false
"Passwords don’t match.","Hindi magkatugma ang passwords.",false
"past","nakaraan",false
"Paste at least one container number first.","Mag-paste muna ng kahit isang container number.",false
"Payment","Payment",true
"Payment details (customer payment page)","Payment details (customer payment page)",true
"Payment details will be posted here soon — or pay directly at the KTC cashier.","Ipo-post dito ang payment details sa lalong madaling panahon — o magbayad nang diretso sa KTC cashier.",false
"Payment doesn’t block processing — the official Service Invoice is issued at the KTC office.","Hindi hahadlang ang payment sa pagpoproseso — ang official Service Invoice ay ibibigay sa KTC office.",false
"Payment issue — fix","May problema sa payment — ayusin",false
"Payment QR code","Payment QR code",true
"Payment under review","Sinusuri ang payment",false
"pending","naghihintay",false
"Pending","Naghihintay",false
"Pending approval","Naghihintay ng approval",false
"Pending approval (held)","Naghihintay ng approval (naka-hold)",false
"PENDING FINAL VERIFICATION","NAGHIHINTAY NG FINAL VERIFICATION",false
"Pending verification","Naghihintay ng verification",false
"Permanently delete this file from storage (DPA cleanup)","I-delete nang permanente ang file na ito mula sa storage (DPA cleanup)",false
"Personal details","Personal details",true
"Philippine statutory VAT — changeable only server-side if the law changes","Philippine statutory VAT — mababago lang sa server-side kapag nagbago ang batas",false
"Pick the customer this order is for.","Piliin ang customer na para sa order na ito.",false
"Pick your consignee","Piliin ang iyong consignee",false
"Please accept the KTC Customer Agreement (Terms & Data Privacy consent) to continue.","Tanggapin ang KTC Customer Agreement (Terms at Data Privacy consent) para magpatuloy.",false
"Please add a note for the customer.","Maglagay ng note para sa customer.",false
"Please attach your valid ID.","I-attach ang iyong valid ID.",false
"Please complete the CAPTCHA.","Kumpletuhin ang CAPTCHA.",false
"Please confirm your email first — check your inbox (and spam folder) for the confirmation link.","Pakikumpirma muna ang iyong email — tingnan ang iyong inbox (at spam folder) para sa confirmation link.",false
"Please describe what you updated or clarified.","Pakilarawan kung ano ang in-update o nilinaw mo.",false
"Please enter your contact number.","Ilagay ang iyong contact number.",false
"Please enter your full name.","Ilagay ang iyong buong pangalan.",false
"Please re-upload a corrected slip.","Pakiulit i-upload ang naitamang slip.",false
"Please tick the consent box before submitting your ID.","Pakitsek muna ang consent box bago i-submit ang iyong ID.",false
"Please wait a second for the CAPTCHA to refresh, then tap Resend again.","Maghintay ng isang segundo para mag-refresh ang CAPTCHA, tapos i-tap ulit ang Resend.",false
"Please wait…","Sandali lang…",false
"port-services (RPS)","port-services (RPS)",true
"Port-services (RPS) charges","Port-services (RPS) charges",true
"Preparing…","Inihahanda…",false
"Prev","Nakaraan",false
"Prices are locked against accidental edits — unlock to change them","Naka-lock ang mga presyo laban sa di-sinasadyang pagbabago — i-unlock para mabago",false
"Print","I-print",false
"Print fee","Print fee",true
"Print slip","I-print ang slip",false
"Print slip ↗","I-print ang slip ↗",false
"Print this guide","I-print ang guide na ito",false
"printed invoice no.","printed invoice no.",true
"Process job orders (approve / hold / reject / complete)","I-proseso ang job orders (approve / hold / reject / complete)",false
"Processing","Pinoproseso",false
"Profile, email & password","Profile, email at password",false
"Put on hold","I-hold",false
"QR code image (bank / GCash)","QR code image (bank / GCash)",true
"Queue","Queue",true
"Queue is clear. 🎉","Wala nang naka-queue. 🎉",false
"Quick tour ▸","Mabilis na gabay ▸",false
"Rate Calculator","Kalkulador ng Singil",false
"rate to be confirmed by KTC","rate na kukumpirmahin ng KTC",false
"Rates","Mga Singil",false
"Re-assess RPS","I-assess ulit ang RPS",false
"Reactivate","I-reactivate",false
"Reason for suspension (shown to the customer)","Dahilan ng suspension (ipapakita sa customer)",false
"Reason:","Dahilan:",false
"Record BOTH numbers: the ERP control no. (OR-INV-… cash / BI-INV-… credit) and the printed invoice serial — an invoice on file releases the order","I-record ang DALAWANG number: ang ERP control no. (OR-INV-… cash / BI-INV-… credit) at ang naka-print na invoice serial — magre-release ng order kapag may invoice na naka-file",false
"Record invoice #","I-record ang invoice #",false
"Record Service Invoice no. (= PAID)","I-record ang Service Invoice no. (= PAID)",false
"Refresh","I-refresh",false
"Refresh statuses (auto-refreshes every minute)","I-refresh ang mga status (auto-refresh kada minuto)",false
"Reject","I-reject",false
"Reject job order","I-reject ang Job Order",false
"Reject order","Tanggihan ang order",false
"Reject proof","I-reject ang proof",false
"Rejected","Tinanggihan",false
"Rejected / cancelled","Tinanggihan / kanselado",false
"Rejected:","Tinanggihan:",false
"rejects pending accounts with no ID after 48h","tinatanggihan ang mga pending account na walang ID pagkatapos ng 48h",false
"Remarks","Remarks",true
"Remove","Alisin",false
"Remove {name}","Alisin si {name}",false
"Remove 2FA and go back to password-only?","Alisin ang 2FA at bumalik sa password-only?",false
"Remove row","Alisin ang row",false
"Remove two-factor authentication","Alisin ang two-factor authentication",false
"Removing…","Inaalis…",false
"Resend confirmation email","Ipadala ulit ang confirmation email",false
"Resend in {t}","I-resend sa {t}",false
"Resending…","Ipinapadala ulit…",false
"Reset password","I-reset ang password",false
"Respond & resubmit","Sumagot at i-submit ulit",false
"Restore","I-restore",false
"Restore {line} #{no}","Ibalik ang {line} #{no}",false
"Resubmit for review","I-resubmit para sa review",false
"Resubmit to KTC","I-submit ulit sa KTC",false
"Resubmit your details to continue","I-resubmit ang iyong mga detalye para magpatuloy",false
"Resubmitting…","Sini-submit ulit…",false
"Review and process job orders from verified customers.","I-review at iproseso ang mga Job Order mula sa mga verified na customer.",false
"Review payment proofs (confirm / reject)","I-review ang payment proofs (confirm / reject)",false
"Review the customer's valid ID and confirm they accepted the Agreement (Terms + Data Privacy consent) before approving.","I-review ang valid ID ng customer at i-confirm na tinanggap nila ang Agreement (Terms + Data Privacy consent) bago mag-approve.",false
"Revoke access","I-revoke ang access",false
"Role","Role",true
"Role gate changed","Nabago ang role gate",false
"Roles & gates","Roles at gates",false
"Row {row} ({visit}): bad date — use YYYY-MM-DD","Row {row} ({visit}): maling petsa — gamitin ang YYYY-MM-DD",false
"Row {row}: missing vessel_visit / vessel_name / voyage_number","Row {row}: kulang ang vessel_visit / vessel_name / voyage_number",false
"RPS / port-services moves for this JO","RPS / port-services moves para sa JO na ito",false
"RPS document (optional)","RPS document (optional)",true
"RPS needed","Kailangan ng RPS",false
"RPS payment slip","RPS payment slip",true
"RPS payment to review","RPS payment na ire-review",false
"RPS per-move rates","RPS per-move rates",true
"Run health check","Mag-run ng health check",false
"Save","I-save",false
"Save — needs RPS","I-save — kailangan ng RPS",false
"Save changes","I-save ang mga binago",false
"Save free-days","I-save ang free-days",false
"Save gates","I-save ang gates",false
"Save invoice","I-save ang invoice",false
"Save move rates","I-save ang move rates",false
"Save payment details","I-save ang payment details",false
"Save pricing","I-save ang pricing",false
"Saved.","Na-save.",false
"Saving…","Sine-save…",false
"Scan to pay","I-scan para magbayad",false
"Scheduled jobs","Mga scheduled job",false
"Search by name, customer code, or email…","Maghanap sa pangalan, customer code, o email…",false
"Search code or name…","Maghanap sa code o pangalan…",false
"Search consignee by code or name…","Maghanap ng consignee sa code o pangalan…",false
"Searching…","Naghahanap…",false
"Security","Security",true
"Security events","Mga security event",false
"Select a consignee from the list.","Pumili ng consignee mula sa listahan.",false
"Select a vessel…","Pumili ng vessel…",false
"Select the vessel & voyage (or tick “not listed”).","Piliin ang vessel & voyage (o i-tick ang “not listed”).",false
"Send confirmation link","Ipadala ang confirmation link",false
"Send reset link","Ipadala ang reset link",false
"Send via Viber","I-send sa Viber",false
"Sending…","Ipinapadala…",false
"server-side","server-side",true
"Service for all:","Service para sa lahat:",false
"Service rates & fees","Mga service rate at fee",false
"Serving numbers are assigned — the slip can be printed now.","Naka-assign na ang serving numbers — pwede nang i-print ang slip.",false
"Set a new password","Magtakda ng bagong password",false
"set line","set line",true
"Settings","Settings",true
"Settings · rates & fees","Settings · rates at fees",false
"Share a snapshot of active vessels to your Viber group","I-share ang snapshot ng active na vessels sa iyong Viber group",false
"Shipping line","Shipping line",true
"Shipping Line","Shipping Line",true
"Show all orders","Ipakita lahat ng order",false
"Show past/cancelled","Ipakita ang nakaraan/kanselado",false
"Show this page's walkthrough","Ipakita ang gabay sa pahinang ito",false
"Showing {from}–{to} of {total}","Ipinapakita ang {from}–{to} ng {total}",false
"Sign in","Mag-sign in",false
"Sign in to continue","Mag-sign in para magpatuloy",false
"Sign out","Mag-sign out",false
"Sign up","Mag-sign up",false
"Skip for now — continue to the portal →","I-skip muna — magpatuloy sa portal →",false
"Skip the tour","Laktawan ang gabay",false
"Skipped {count}:","Nilaktawan ang {count}:",false
"SMS","SMS",true
"Snapshot downloaded — attach it in your Viber group.","Na-download ang snapshot — i-attach ito sa inyong Viber group.",false
"snapshots job orders to the BOC Google Sheet","kumukuha ng snapshot ng mga Job Order papunta sa BOC Google Sheet",false
"Some rates aren’t configured yet — “—” lines aren’t included in the total.","May mga rate na hindi pa naka-configure — ang mga “—” na linya ay hindi kasama sa total.",false
"Some rates aren’t configured yet — the total below may be incomplete. KTC will confirm the final amount.","May mga rate na hindi pa naka-configure — baka kulang pa ang total sa ibaba. Iko-confirm ng KTC ang final na halaga.",false
"Something went wrong.","May nangyaring mali.",false
"Staff & access","Staff at access",false
"Staff access revoked from {email}.","Inalis ang staff access kay {email}.",false
"Staff account created ({suRole}). They sign in with username ""{u}"" and the password you set.","Nagawa na ang staff account ({suRole}). Mag-si-sign in sila gamit ang username na ""{u}"" at ang password na itinakda mo.",false
"Status message","Status message",true
"statutory · fixed","statutory · fixed",true
"Step {n} of {total}","Hakbang {n} ng {total}",false
"Submit Job Order","I-submit ang Job Order",false
"Submit to KTC","I-submit sa KTC",false
"Submit valid ID for verification","I-submit ang valid ID para sa verification",false
"submitted","naisumite",false
"Submitted","Naisumite",false
"Submitting…","Sini-submit…",false
"Suspend","I-suspend",false
"Suspend account (contact admin)","I-suspend ang account (contact admin)",false
"Suspended","Suspended",true
"Switch between a table and a month calendar (vessels shown on their arrival date). Tick ""Show past/cancelled"" to see the full history. View only — KTC keeps the schedule up to date.","Magpalit sa pagitan ng talahanayan at buwanang kalendaryo (ipinapakita ang mga barko sa petsa ng pagdating). I-tsek ang ""Ipakita ang nakaraan/kanselado"" para makita ang buong kasaysayan. Tingnan lang — KTC ang nag-a-update ng iskedyul.",false
"system","system",true
"System","System",true
"System health","System health",true
"Table","Talahanayan",false
"Table or calendar","Talahanayan o kalendaryo",false
"Tap an order to see its containers and services.","I-tap ang order para makita ang mga container at serbisyo nito.",false
"Tell the customer what information or update you need. They’ll see this note on the order.","Sabihin sa customer kung anong impormasyon o update ang kailangan mo. Makikita nila ang note na ito sa order.",false
"Tell the customer why this order is being rejected. They’ll see this note on the order.","Sabihin sa customer kung bakit nire-reject ang order na ito. Makikita nila ang note na ito sa order.",false
"terminal","terminal",true
"Thanks — your email address is verified. Please sign in with your password to continue and upload your valid ID.","Salamat — verified na ang iyong email address. Mag-sign in gamit ang iyong password para magpatuloy at i-upload ang iyong valid ID.",false
"Thanks for confirming your email. To get your account verified, attach a clear photo or PDF of a valid government-issued ID and submit it — a KTC admin will review it. You don’t have to do it now: you can head straight to the portal and prepare job orders, but they’ll be","Salamat sa pag-confirm ng iyong email. Para ma-verify ang iyong account, i-attach ang malinaw na photo o PDF ng valid government-issued ID at i-submit ito — irereview ito ng KTC admin. Hindi mo kailangang gawin ngayon: puwede kang diretso sa portal at maghanda ng job orders, pero ito'y mananatiling",false
"That code didn't match — check your authenticator app and try again.","Hindi tumugma ang code na iyon — tingnan ang iyong authenticator app at subukan ulit.",false
"That code didn't match — scan the QR again or re-type the code.","Hindi tugma ang code — i-scan ulit ang QR o i-type ulit ang code.",false
"That file has no data rows.","Walang data rows ang file na iyan.",false
"That line already exists.","Existing na ang line na iyon.",false
"That service already exists — reactivate it instead.","Existing na ang service na iyon — i-reactivate na lang ito.",false
"That’s already your email.","Iyan na ang email mo.",false
"The calls customers file against. Add one with the form, or bulk-update from your sheet with ⬇ Template then ⬆ Import (matched by vessel-visit, so re-importing updates rather than duplicates).","Ang mga call na pinag-fa-file-an ng mga customer. Magdagdag gamit ang form, o mag-bulk-update mula sa iyong sheet gamit ang ⬇ Template tapos ⬆ Import (naka-match sa vessel-visit, kaya kapag in-import ulit ay nag-u-update sa halip na mag-duplicate).",false
"The current vessel calls at KTC, maintained by operations. Check your vessel & voyage before filing, and watch the Last Free Day — the last day of free storage before charges start.","Ang mga kasalukuyang barko sa KTC, pinapanatili ng operations. Tingnan ang iyong barko at voyage bago mag-file, at bantayan ang Huling Free Day — ang huling araw ng libreng storage bago magsimula ang singil.",false
"The customer","Ang customer",false
"The Dashboard is your live overview. Each tile is a live count that links straight to where the work happens — here's what they mean.","Ang Dashboard ang live na overview mo. Bawat tile ay live na bilang na diretsong nagli-link sa kung saan nangyayari ang trabaho — eto ang ibig sabihin ng mga ito.",false
"The ERP record ID — OR-INV-… for cash, BI-INV-… for credit","Ang ERP record ID — OR-INV-… para sa cash, BI-INV-… para sa credit",false
"The full consignee master list customers pick from. Tap to add, edit, or bulk-import.","Ang buong consignee master list na pinipilian ng mga customer. I-tap para mag-add, mag-edit, o mag-bulk-import.",false
"The live queue — submitted, processing, and on-hold orders. Tap to open the working queue. Most of the day-to-day lives there: process orders, confirm payments, record invoices.","Ang live na queue — mga order na naisumite, pinoproseso, at naka-hold. I-tap para buksan ang working queue. Karamihan ng araw-araw na trabaho ay nandoon: i-process ang mga order, i-confirm ang mga payment, i-record ang mga invoice.",false
"The printed OR / Billing Invoice serial from the pad","Ang naka-print na OR / Billing Invoice serial mula sa pad",false
"The Rate Calculator estimates your fees — pick services and container counts to see the estimated total, inclusive of VAT and fees.","I-estimate ng Rate Calculator ang iyong fees — pumili ng services para makita ang estimated total, kasama na ang VAT at fees.",false
"This is the legal name verified against your ID. Changing it requires re-verification (you’ll re-upload an ID for an admin to review).","Ito ang legal na pangalan na na-verify base sa iyong ID. Kapag binago ito, kailangan ng re-verification (mag-uupload ka uli ng ID para suriin ng admin).",false
"this monitor — emails the owner on failures","itong monitor — nag-e-email sa owner kapag may failure",false
"this order (untick to close it permanently — they’d have to file a new one)","ang order na ito (alisin ang check para isara ito nang permanente — kailangan nilang mag-file ng bago)",false
"This order is closed. If needed, please","Sarado na ang order na ito. Kung kailangan, paki-",false
"This order was resubmitted and went to the back of the line — restore its original number","Na-resubmit ang order na ito at napunta sa dulo ng linya — ibalik ang orihinal nitong number",false
"This reset link is invalid or has expired. Please request a new one.","Invalid na o expired na ang reset link na ito. Humiling ng bago.",false
"This week's {line} line number","Line number ng {line} ngayong linggo",false
"Tick the consent box above to submit.","I-tick ang consent box sa itaas para makapag-submit.",false
"Tick to offer this service again","Lagyan ng tsek para ibalik ang serbisyong ito",false
"TIN","TIN",true
"To","Para kay",false
"Too many failed sign-in attempts. Please wait","Masyadong maraming failed na sign-in attempts. Pakihintay nang",false
"total","kabuuan",false
"Total","Total",true
"TOTP enrollment QR code","TOTP enrollment QR code",true
"Track statuses, pay, and print approved slips","I-track ang status, magbayad, at i-print ang mga aprubadong slip",false
"Track your orders","I-track ang iyong mga order",false
"Try again in {secs}s","Subukan ulit sa {secs}s",false
"Turn on 2FA","I-on ang 2FA",false
"Two-factor authentication","Two-factor authentication",true
"Two-factor authentication is active on this account.","Aktibo ang two-factor authentication sa account na ito.",false
"Two-factor authentication is currently available for admin and owner accounts only.","Sa ngayon, available lang ang two-factor authentication para sa admin at owner accounts.",false
"Two-factor authentication removed. Your account is back to password-only — consider re-enrolling.","Naalis ang two-factor authentication. Bumalik sa password-only ang iyong account — mabuting mag-enroll ulit.",false
"Type a container or JO number to check a box: NOT CLEARED · X-ray pending means it's waiting; CLEARED shows when it passed. Use it when a trucker asks.","Mag-type ng container o JO number para i-check ang isang box: NOT CLEARED · X-ray pending ay ibig sabihin naghihintay pa; CLEARED ang lalabas kapag pumasa na. Gamitin ito kapag may nagtatanong na trucker.",false
"Type at least {minChars} characters to search.","Mag-type ng kahit {minChars} characters para maghanap.",false
"Type to search the consignee master list and pick yours.","Mag-type para maghanap sa consignee master list at piliin ang sa iyo.",false
"Unknown","Hindi alam",false
"Unknown customer","Di kilalang customer",false
"Unlock editing first","I-unlock muna ang pag-edit",false
"Unpaid · completed","Hindi pa bayad · tapos na",false
"unpaid {d}d","hindi bayad {d}d",false
"Untick to remove from the New Job Order form and calculator (existing orders unaffected)","Alisan ng tsek para tanggalin sa New Job Order form at calculator (hindi maaapektuhan ang mga existing na order)",false
"Update call","I-update ang call",false
"Update password","I-update ang password",false
"Updating…","Ina-update…",false
"Upload a clear photo or PDF of the deposit / transfer / GCash receipt.","I-upload ang malinaw na photo o PDF ng deposit / transfer / GCash receipt.",false
"Upload a valid government ID and a KTC admin will review your account. You can file Job Orders while you wait — but they're held until a KTC admin reviews and approves your account.","I-upload ang valid government ID at ire-review ng isang KTC admin ang iyong account. Pwede ka nang mag-file ng Job Orders habang naghihintay — pero naka-hold ang mga ito hanggang ma-review at ma-approve ng isang KTC admin ang account mo.",false
"Upload your valid ID","I-upload ang iyong valid ID",false
"Upload your valid ID →","I-upload ang iyong valid ID →",false
"Upload your valid ID for final verification (banner above); once a KTC admin approves you, your held orders are sent automatically.","I-upload ang valid ID mo para sa final verification (banner sa itaas); kapag inaprubahan ka na ng KTC admin, automatic nang ipapadala ang held orders mo.",false
"Upload your valid ID to get verified","I-upload ang iyong valid ID para ma-verify",false
"Used for the online-payment computation (the official Service Invoice + receipt come from the ERP). Amounts in ₱.","Ginagamit para sa online-payment computation (ang official na Service Invoice + receipt ay galing sa ERP). Mga halaga sa ₱.",false
"User Manual","Gabay sa Paggamit",false
"Username","Username",true
"Valid ID — {name}","Valid ID — {name}",true
"Valid ID (image or PDF)","Valid ID (image o PDF)",false
"Valid ID preview","Preview ng valid ID",false
"Valid ID:","Valid ID:",true
"VAT ({pct}% of vatable services)","VAT ({pct}% ng vatable services)",false
"VAT ({pct}%)","VAT ({pct}%)",true
"VAT rate","VAT rate",true
"VATable","May VAT",false
"Verified","Na-verify na",false
"Verify","I-verify",false
"Vessel","Barko",false
"VESSEL","VESSEL",true
"Vessel & voyage","Vessel at voyage",false
"Vessel & Voyage","Vessel & Voyage",true
"Vessel name","Vessel name",true
"Vessel Name*","Vessel Name*",true
"Vessel not listed — enter manually","Wala sa listahan ang vessel — i-type nang manual",false
"Vessel schedule","Iskedyul ng mga barko",false
"Vessel Schedule","Iskedyul ng mga Barko",false
"Vessel Visit, Vessel Name and Voyage Number are required.","Kailangan ang Vessel Visit, Vessel Name at Voyage Number.",false
"Vessel Visit*","Vessel Visit*",true
"Vessels","Mga Barko",false
"View","Tingnan",false
"View charges & pay","Tingnan ang charges at magbayad",false
"View current 2303","Tingnan ang kasalukuyang 2303",false
"View full ↗","Tingnan ang buo ↗",false
"View ID","Tingnan ang ID",false
"View job orders","Tingnan ang job orders",false
"View queue →","Tingnan ang queue →",false
"View RPS payment","Tingnan ang RPS payment",false
"View valid ID","Tingnan ang valid ID",false
"View X-ray payment","Tingnan ang X-ray payment",false
"Visit","Visit",true
"VISIT","VISIT",true
"Voyage","Voyage",true
"VOYAGE","VOYAGE",true
"Voyage number","Voyage number",true
"Voyage Number*","Voyage Number*",true
"Walk-ins and in-house ops — the order is filed under the customer's account and enters the line as","Walk-ins at in-house ops — naka-file ang order sa account ng customer at pumapasok sa linya bilang",false
"We just need a quick update to finish verifying your account. Please review the note below, update your details, and resubmit — a KTC admin will review it again.","Kailangan lang namin ng mabilis na update para matapos i-verify ang iyong account. Pakitingnan ang note sa ibaba, i-update ang iyong mga detalye, at i-resubmit — susuriin itong muli ng KTC admin.",false
"We’ll email a confirmation link to the new address. The change only takes effect once you click it.","Magpapadala kami ng confirmation link sa bagong address via email. Magkakabisa lang ang pagbabago kapag na-click mo na ito.",false
"Welcome","Maligayang pagdating",false
"Welcome to the KTC admin portal","Maligayang pagdating sa KTC admin portal",false
"Welcome, {name}","Maligayang pagdating, {name}",false
"What did you fix? (optional note to KTC)","Ano ang inayos mo? (optional na note sa KTC)",false
"What each staff role may do. Owner-only — enforced server-side (RLS + RPCs), the UI just mirrors it.","Kung ano ang pwedeng gawin ng bawat staff role. Owner-only — naka-enforce sa server-side (RLS + RPCs), ang UI ay sumasalamin lang dito.",false
"What to update:","Ano ang i-uupdate:",false
"When a container passes the X-ray, hit Confirm on its card — it stamps the date/time and the order leaves your queue (completing once its other services are done).","Kapag pumasa ang container sa X-ray, i-Confirm sa card nito — ita-stamp nito ang date/time at aalis ang order sa queue mo (matatapos kapag tapos na ang ibang services nito).",false
"Who did what, when","Sino ang gumawa, ano, at kailan",false
"Why? (shown to the customer)","Bakit? (makikita ng customer)",false
"Working…","Ginagawa…",false
"X-ray charges","X-ray charges",true
"X-ray Checker","X-ray Checker",true
"X-ray Checker station","X-ray Checker station",true
"X-ray done","Tapos na ang X-ray",false
"X-ray done and balance fully paid. Collect your gate pass / official Service Invoice at the KTC office.","Tapos na ang X-ray at bayad na nang buo ang balance. Kunin ang iyong gate pass / official Service Invoice sa KTC office.",false
"X-ray line — {count} waiting","X-ray line — {count} naghihintay",false
"X-ray payment confirmed","Na-confirm na ang X-ray payment",false
"X-ray payment slip","X-ray payment slip",true
"X-ray payment to review","X-ray payment na ire-review",false
"Yes","Oo",false
"Yes, cancel it","Oo, i-cancel",false
"Yes, remove it","Oo, alisin ito",false
"You can already file job orders — they’re held pending verification. Upload your valid ID to get verified; once approved, your held orders are sent to KTC automatically.","Pwede ka nang mag-file ng job orders — naka-hold lang sila habang hinihintay ang verification. I-upload ang iyong valid ID para ma-verify; pag aprubado na, awtomatikong ipapadala sa KTC ang iyong mga naka-hold na order.",false
"You can file job orders now, but they","Pwede ka nang mag-file ng Job Orders ngayon, pero",false
"You can upload your ID later from the banner.","Pwede mong i-upload ang iyong ID mamaya mula sa banner.",false
"You were signed out after {mins} minutes of inactivity. Please sign in again.","Na-sign out ka pagkatapos ng {mins} na minutong walang aktibidad. Mag-sign in ulit.",false
"You were signed out because this account signed in on another device or browser. If that wasn’t you, change your password now.","Na-sign out ka dahil nag-sign in ang account na ito sa ibang device o browser. Kung hindi ikaw iyon, palitan mo ang iyong password ngayon.",false
"You’ll see the result here.","Makikita mo ang resulta dito.",false
"You’ve been inactive for a while — you’ll be signed out in about a minute.","Matagal ka nang hindi aktibo — mag-si-sign out ka sa loob ng mga isang minuto.",false
"you@example.com","you@example.com",true
